full_path,file_name,true_color,light_on,red_sum,grn_sum,img_sum,color
/mnt/c/Users/James/test_camera_pics/img2021-07-03 11-52-10.116923.jpg,img2021-07-03 11-52-10.116923,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 11-53-10.668055.jpg,img2021-07-03 11-53-10.668055,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 11-54-11.210741.jpg,img2021-07-03 11-54-11.210741,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 11-55-11.747445.jpg,img2021-07-03 11-55-11.747445,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 11-56-12.311212.jpg,img2021-07-03 11-56-12.311212,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 11-57-12.843949.jpg,img2021-07-03 11-57-12.843949,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 11-58-13.338012.jpg,img2021-07-03 11-58-13.338012,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 11-59-13.876687.jpg,img2021-07-03 11-59-13.876687,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-00-14.358017.jpg,img2021-07-03 12-00-14.358017,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-01-14.898034.jpg,img2021-07-03 12-01-14.898034,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-02-15.418037.jpg,img2021-07-03 12-02-15.418037,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-03-15.932180.jpg,img2021-07-03 12-03-15.932180,,,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-04-16.468061.jpg,img2021-07-03 12-04-16.468061,,TRUE,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-05-17.023681.jpg,img2021-07-03 12-05-17.023681,,TRUE,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-06-17.554503.jpg,img2021-07-03 12-06-17.554503,,TRUE,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-07-18.077933.jpg,img2021-07-03 12-07-18.077933,,TRUE,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-08-18.617461.jpg,img2021-07-03 12-08-18.617461,,TRUE,,,,
/mnt/c/Users/James/test_camera_pics/img2021-07-03 12-09-19.168069.jpg,img2021-07-03 12-09-19.168069,,TRUE,,,,
